nombre,localidad,provincia,direccion,lat,lng,empresa_nombre
ZARATE,Zárate,Buenos Aires,,-34.0951512,-59.0240826,
NECOCHEA,Necochea,Buenos Aires,,-38.5544968,-58.7396088,
FRANZ & PEPPONE SUCURSAL AÑELO,Añelo,Neuquén,,-38.3529998,-68.7823366,
SAN CARLOS DE BARILOCHE,San Carlos de Bariloche,Río Negro,,-41.1334722,-71.3102778,
BELEN DE ESCOBAR,Belén de Escobar,Buenos Aires,,-34.345965,-58.7953449,
ROSARIO,Rosario,Santa Fe,,-32.9587022,-60.6930416,
NUTRIEN GENERAL ROCA SUCURSAL,General Roca,Córdoba,,-32.7313869,-61.9180189,
PLANTA PONAL,Necochea,Buenos Aires,,-38.5170512,-58.689046,
S2600 VENADO TUERTO,Venado Tuerto,Santa Fe,,-33.7455566,-61.9690161,
CERAMICA ALBERDI,Moreno,Buenos Aires,,-34.5058657,-58.7607209,
PUCARA SA,Coronel Suárez,Buenos Aires,,-37.9746301,-61.3802333,
ARENERA DEL ARROYO,Ramallo,Buenos Aires,,-33.2732512,-60.2605174,
RAMALLO,Ramallo,Buenos Aires,,-33.4850192,-60.0061104,
COMPLEJO CRISTIANO REMANENTE SANTO,Berazategui,Buenos Aires,,-34.8123555,-58.6364563,
RINCON DE LOS SAUCES,Rincón de los Sauces,Neuquén,,-37.3939948,-68.9270849,
GRUPO KIMA,Bahía Blanca,Buenos Aires,,-38.7749799,-62.2721141,
NUTRIEN AG SOLUTIONS - CASILDA,Casilda,Santa Fe,,-33.0391842,-61.1326349,
CAMINO DEL BUEN AYRE,La Matanza,Buenos Aires,,-34.5689219,-58.6537446,
ARENAS SANTA ROSA,San Lorenzo,Santa Fe,,-33.0614602,-60.5701368,
PUNTA ALVEAR CARGILL,Punta Alvear,Santa Fe,,-33.0467952,-60.5775164,
TRANSQUIM SRL,La Plata,Buenos Aires,,-34.9306974,-58.6242361,
HAEDO,Haedo,Buenos Aires,,-34.6440676,-58.5956428,
WAY MAKER,Pilar,Buenos Aires,,-34.4080905,-58.8613397,
ESTACION PUMA ENERGY VENADO TUERTO,Venado Tuerto,Santa Fe,,-33.7799432,-61.9539448,
AÑELO,Añelo,Neuquén,,-38.3516044,-68.7874869,
VILLA MARIA,Villa María,Córdoba,,-32.4104614,-63.243645,
BARKER,Barker,Buenos Aires,,-37.639713,-59.390306,
OLAVARRIA,Olavarría,Buenos Aires,,-36.8937167,-60.3233499,
MATERIALES HAEDO,Haedo,Buenos Aires,,-34.6547719,-58.5993161,
ARENAS SAN PEDRO A,San Pedro,Buenos Aires,,-33.6962807,-59.634156,
TRANSPORTES COOPER-TRANS,Bahía Blanca,Buenos Aires,,-38.7135072,-62.3311562,
TANDIL,Tandil,Buenos Aires,,-37.3287999,-59.1367167,
BAHIA BLANCA,Bahía Blanca,Buenos Aires,,-38.7183177,-62.2663478,
PUNTO SIN NOMBRE TANDIL,Tandil,Buenos Aires,,-37.774342,-58.884823,
NUTRIEN AG SOLUTIONS,Pilar,Buenos Aires,,-34.2578707,-59.482039,
IBICUY,Ibicuy,Entre Ríos,,-33.7434675,-59.1557553,
TRANSCLOR SA,Pilar,Buenos Aires,,-34.4051064,-58.9840341,
CAMPOS DE ROCA,Brandsen,Buenos Aires,,-35.1078277,-58.0931839,
CONCEPCION CHILE,Concepción,Bío Bío,,-36.8201352,-73.0443904,
HORCRISA HORMIGONERA,La Matanza,Buenos Aires,,-34.7414701,-58.5681638,
MANUSH CENTRO,San Carlos de Bariloche,Río Negro,,-41.1358314,-71.3103305,
SAN NICOLAS DE LOS ARROYOS,San Nicolás,Buenos Aires,,-33.3334669,-60.2110494,
GRAL ROCA CORDOBA,General Roca,Córdoba,,-32.7286737,-61.9153795,
COSTA VILLA RAMALLO SA,Ramallo,Buenos Aires,,-33.4294188,-60.0833788,
TERMINAL 6 SA,Puerto General San Martín,Santa Fe,,-32.6584395,-60.7350561,
DESTILERIA MADOC,San Carlos de Bariloche,Río Negro,,-41.0804595,-71.1772918,
VILLA MARIA CEREALES SRL,Villa María,Córdoba,,-32.4324258,-63.1878638,
